,0,1,2,3,4
78,000106,JXAXHBZQC,建信安心回报债券C,债券型-长债,JIANXINANXINHUIBAOZHAIQUANC
79,000107,FGWJZQZQAB,富国稳健增强债券A/B,债券型-混合债,FUGUOWENJIANZENGQIANGZHAIQUANAB
80,000108,FGWJZQZQAB,富国稳健增强债券A/B(后端),债券型-混合债,FUGUOWENJIANZENGQIANGZHAIQUANAB
81,000109,FGWJZQZQC,富国稳健增强债券C,债券型-混合债,FUGUOWENJIANZENGQIANGZHAIQUANC
82,000110,JYYAHHA,金鹰元安混合A,混合型-偏债,JINYINGYUANANHUNHEA
83,000111,YFDCZ1NDKZA,易方达纯债1年定开债A,债券型-长债,YIFANGDACHUNZHAI1NIANDINGKAIZHAIA
84,000112,YFDCZ1NDKZC,易方达纯债1年定开债C,债券型-长债,YIFANGDACHUNZHAI1NIANDINGKAIZHAIC
85,000116,JSFYCZDQZQ,嘉实丰益纯债定期债券,债券型-长债,JIASHIFENGYICHUNZHAIDINGQIZHAIQUAN
86,000117,GFLDPZHH,广发轮动配置混合,混合型-偏股,GUANGFALUNDONGPEIZHIHUNHE
87,000118,GFJXZQA,广发聚鑫债券A,债券型-混合债,GUANGFAJUXINZHAIQUANA
88,000119,GFJXZQC,广发聚鑫债券C,债券型-混合债,GUANGFAJUXINZHAIQUANC
89,000120,ZYMLZGHH,中银美丽中国混合,混合型-偏股,ZHONGYINMEILIZHONGGUOHUNHE
90,000121,HXYFHHA,华夏永福混合A,混合型-偏债,HUAXIAYONGFUHUNHEA
91,000122,HTFSYZZQA,汇添富实业债债券A,债券型-长债,HUITIANFUSHIYEZHAIZHAIQUANA
92,000123,HTFSYZZQC,汇添富实业债债券C,债券型-长债,HUITIANFUSHIYEZHAIZHAIQUANC
93,000124,HBFWYXHH,华宝服务优选混合,混合型-偏股,HUABAOFUWUYOUXUANHUNHE
94,000126,ZSARLHPZHHA,招商安润灵活配置混合A,混合型-灵活,ZHAOSHANGANRUNLINGHUOPEIZHIHUNHEA
95,000127,NYHYLXHH,农银行业领先混合,混合型-偏股,NONGYINHANGYELINGXIANHUNHE
96,000128,DCJADRZQA,大成景安短融债券A,债券型-中短债,DACHENGJINGANDUANRONGZHAIQUANA
97,000129,DCJADRZQB,大成景安短融债券B,债券型-中短债,DACHENGJINGANDUANRONGZHAIQUANB
98,000130,DCJXXYZZQA,大成景兴信用债债券A,债券型-混合债,DACHENGJINGXINGXINYONGZHAIZHAIQUANA
99,000131,DCJXXYZZQC,大成景兴信用债债券C,债券型-混合债,DACHENGJINGXINGXINYONGZHAIZHAIQUANC
100,000134,ZXBCJHZQA,中信保诚嘉鸿债券A,债券型-长债,ZHONGXINBAOCHENGJIAHONGZHAIQUANA
101,000135,ZXBCJHZQC,中信保诚嘉鸿债券C,债券型-长债,ZHONGXINBAOCHENGJIAHONGZHAIQUANC
102,000136,MSJYCLJXHHA,民生加银策略精选混合A,混合型-灵活,MINSHENGJIAYINCELUEJINGXUANHUNHEA
103,000137,MSJYSSZLZQA,民生加银岁岁增利债券A,债券型-长债,MINSHENGJIAYINSUISUIZENGLIZHAIQUANA
104,000138,MSJYSSZLZQC,民生加银岁岁增利债券C,债券型-长债,MINSHENGJIAYINSUISUIZENGLIZHAIQUANC
105,000139,FGGYQYZZQAB,富国国有企业债债券A/B,债券型-长债,FUGUOGUOYOUQIYEZHAIZHAIQUANAB
106,000140,FGGYQYZZQAB,富国国有企业债债券A/B(后端),债券型-长债,FUGUOGUOYOUQIYEZHAIZHAIQUANAB
107,000141,FGGYQYZZQC,富国国有企业债债券C,债券型-长债,FUGUOGUOYOUQIYEZHAIZHAIQUANC
