,0
144,1777.8842128834913
145,1776.186138181597
146,1758.371117263815
147,1755.4215371485868
148,1635.4260513711024
149,1576.2757445277682
150,1601.2869352397156
151,1536.5721310875672
152,1495.2776506595328
153,1603.6756617831225
154,1596.5723563505244
155,1672.5339328172668
156,1644.8386749387919
157,1590.645041967704
158,1611.3192082956662
159,1529.9544523936247
160,1537.2554015301798
161,1687.3190479505292
162,1663.3823578196861
163,1693.020636229663
164,1670.9703544345389
165,1741.3949556953949
166,1777.3234491662574
167,1917.7950969099793
168,1973.0837497414282
169,2068.2330406735728
170,2081.6566685817907
171,2010.6202271964457
172,2015.4709394454123
173,1848.3153141734274
174,1857.8849940545024
175,1862.9312670449772
176,1839.1880254061682
177,1601.4803979094304
178,1616.720823506819
179,1768.441810542644
180,1779.8937375847634
181,1956.060241530914
182,1922.5628278433376
183,1919.1652509953174
184,1935.1857809569767
185,1909.8563953435469
186,1899.121620882916
187,1726.177308931562
188,1747.934018144211
189,1611.8666406312204
190,1563.5434029293701
191,1604.801926153651
192,1601.8780288389519
193,1641.4720822061745
194,1609.5616607013883
195,1466.2933402738145
196,1520.455754093995
197,1529.011373289058
198,1499.4368480170324
199,1455.9448990875817
200,1288.9358151984934
201,1281.9771033697816
202,1299.3738829415615
203,1283.7167813269589
204,1438.5481195158018
205,1422.8910179012
206,1541.189118989304
207,1566.6023438237016
208,1571.7566627748974
209,1576.276747295296
210,1476.843991470707
211,1579.7054630133862
212,1568.592370907768
213,1704.755791873844
214,1727.1060606104927
215,1751.0034178417918
216,1790.849260472831
217,1727.0538904115283
218,1763.2586637568168
219,1712.0093314232881
220,1706.105850970104
221,1689.531194887626
222,1721.7645700130843
223,1666.1992903193213
224,1663.7483965360618
225,1781.5460603098381
226,1807.764229110539
227,1788.3412213242027
228,1825.8648330258068
229,1991.6494996850051
230,2014.808214797622
231,1981.6076350115618
232,1976.6715652685532
233,2055.8619349083783
234,2024.943248120755
235,1906.473375659284
236,1907.357229797281
237,2009.7832869583162
238,1971.6983525250878
239,2252.3834386286107
240,2301.764552048209
241,2749.333307427697
242,2791.8663103272593
243,2508.554494453081
244,2513.3135565209723
245,2293.5890489770172
246,2278.1791528958975
247,2432.223093072833
248,2440.5383856987237
249,2492.8249629406437
250,2455.3983246727685
251,2609.051875374482
252,2646.919897966161
253,2769.004250473603
254,2836.8165994647925
255,2410.6311549122256
256,2391.3339179443165
257,2016.1950760694626
258,2012.5866732487561
259,1776.8430602977678
260,1779.3154764299077
261,1696.1047955010545
262,1717.1818304744563
263,1598.954452263234
264,1623.4551687642027
265,1342.0313712522793
266,1371.2502354748285
267,1051.3805639858683
268,880.6808835278171
269,1016.0103599269924
270,1140.5749916125978
271,1163.6425159988212
272,889.9078932823068
273,966.7996412363836
274,1039.0778843132157
275,1143.6506615307608
276,1023.6995347224001
277,1052.9183989449493
278,1036.0022143950528
279,991.405000581688
280,1080.5994282084175
281,1309.7368371115672
282,1292.8206525616697
283,1434.3014687971727
284,1354.334050924932
285,1481.9743525286995
286,1518.8823915466573
287,1499.5335712721774
288,1487.1091343378457
289,1620.6718313819101
290,1602.803762867965
291,1455.5875499387457
292,1524.4972666290196
293,1526.692893993343
294,1492.2760091256896
295,1479.7607782647246
296,1661.2316257487191
297,1668.6443549382977
298,1790.260969314073
299,1791.4942145282953
300,1903.6987999909015
301,1892.9555787719917
302,2063.519065284171
303,2097.804384268733
304,2060.6835942878106
305,2091.3794287700825
306,1857.1940083941226
307,1790.4510987174592
308,1905.2237151116187
309,1940.3610377263826
310,2078.4545169031435
311,2092.5781666234407
312,2186.775263981166
313,2222.955258679608
314,2134.404972270093
315,2122.07265165137
316,2207.917694374675
317,2187.726188449939
318,2184.640665295421
319,2227.7986943285277
320,2204.9692606761955
321,2216.613585035491
322,2081.6527510224287
323,2129.7937568276575
324,2226.787602410286
325,2176.669938015754
326,2064.487095723154
327,2092.3975435837897
328,2132.942691514504
329,2116.777231115658
330,2113.7578092950735
331,2137.981689112972
332,2128.9955602555065
333,2110.6575732869187
334,1863.5399971014867
335,1879.9047830255386
336,1995.1937206301009
337,2026.368622514947
338,2205.544724374653
339,2200.1056498385874
340,2082.9222245527926
341,2118.691778984904
342,2272.5856716745093
343,2257.013742444978
344,2223.1437513580804
345,2240.3668833767556
346,1894.6807444981578
347,1887.0327873820613
348,1640.2278581414075
349,1704.0951375734621
350,1602.7342443094685
351,1596.150038765278
352,1762.271055807565
353,1759.6586251869269
354,1822.739214690263
355,1835.761516287126
356,1690.2894372841447
357,1719.115520205213
358,1748.6903317592496
359,1780.4382572315064
360,1615.061714372201
361,1568.2384966025868
362,1279.7589607284353
363,1164.6513626702772
364,1318.1281600811553
365,1549.7644376549815
366,1536.9870350446772
367,1715.7495332683893
368,1777.1306920394904
369,1754.8374989735712
370,1750.493841797895
371,1513.1936033558686
372,1520.3282495782914
373,1562.0538996395862
374,1531.9252635931252
375,1459.928680830374
376,1445.8117038180699
377,1382.2853072627013
378,1126.768023339996
379,1191.7061175965955
380,1207.2347923101306
381,924.8952520640478
382,1016.6556026440239
383,1143.708395754762
384,1190.2944198953646
385,994.0684394243381
386,1001.1269279304897
387,954.5409037898862
388,919.2484612591252
389,944.6590198812737
390,775.2552957336238
391,785.1371796422363
392,1061.8299290833966
393,1030.772579656329
394,944.6590198812737
395,923.4835543628169
396,909.3665773505127
397,895.2496003382084
398,979.9514624120329
399,919.2484612591252
400,934.7771359726603
401,1155.0019773646054
402,1173.3540474806005
403,1153.5902796633745
404,1207.2347923101306
405,1283.4664681765717
406,1284.8781658778025
407,1180.4125359867521
408,1277.8196773716509
409,1229.8219555298174
410,1115.4744417301526
411,1109.8276509252319
412,1248.1740256458124
413,1133.8265118461486
414,1112.6510463276927
415,1018.0673003452548
416,1109.8276509252319
417,1003.9503233329506
418,987.0099509181855
419,951.7175083874254
420,1001.1269279304897
421,984.1865555157246
422,900.8963911431301
423,820.4296221729974
424,906.5431819480518
425,778.0786911360847
426,748.4330394102453
427,778.0786911360847
428,773.843598032393
429,779.4903888373155
430,670.7896658425734
431,747.0213417090145
432,813.3711336668448
433,838.7816922889924
434,830.3115060816099
435,893.8379026369776
436,1032.1842773575581
437,1084.4170923030833
438,1005.3620210341805
439,998.303532528028
440,954.5409037898862
441,955.9526014911171
442,1018.0673003452548
443,1077.3586037969317
444,1104.1808601203093
445,1143.708395754762
446,1111.2393486264618
447,1029.3608819550982
448,924.8952520640478
449,971.4812762046513
450,851.4869716000649
451,845.8401807951441
452,958.775996893577
453,1060.4182313821675
454,1002.5386256317197
455,960.1876945948079
456,979.9514624120329
457,796.4307612520797
458,828.8998083803781
459,773.843598032393
460,662.3194796351909
461,728.6692715930194
462,744.1979463065545
463,707.4938060745635
464,679.259852049955
465,742.7862486053236
466,768.1968072274722
467,708.9055037757935
468,771.0202026299321
469,824.6647152766882
470,658.0843865314991
471,545.1485704330662
472,557.8538497441396
473,409.62559111494556
474,484.44556928015754
475,451.97652215185917
476,525.3848026158403
477,387.0384278952597
478,430.80105663340237
479,480.2104761764667
480,423.7425681272507
481,274.10261179682675
482,176.695470411928
483,56.70116580734248
484,34.114002587655705
485,-68.93992960216383
486,-164.9353732858326
487,-259.5191192682696
488,-326.2347417390338
489,-218.90960993823865
490,-419.0564773505339
491,-279.82387393328463
492,-419.0564773505339
493,-746.833231228642
494,-599.386678448247
495,124.44185338277384
496,137.84608545371884
497,93.165311883904
498,93.165311883904
499,119.97377602579218
500,-152.57894275008584
501,119.97377602579218
502,-23.004699397619333
503,539.973047582067
504,544.4411249390469
505,620.3984400077352
506,446.1434230854502
507,294.22879294807717
508,307.63302501902217
509,-67.68547296743418
510,-456.40820302483553
511,-804.9182368694019
512,83.23946510736641
513,288.6636954965543
514,16.778684687338682
515,-714.2898999329955
516,-357.81844131647085
517,155.74213465649154
518,246.37047159289796
519,488.04603675664475
520,-49.68209573269269
